ptp,rt,response,time_elapsed
sub_035,3051,,3053
sub_035,7619,,7622
sub_035,1665.8000001907349,,1668
sub_035,1340.5,,1342
sub_035,1698.8000001907349,,1701
sub_035,1429.5999999046326,,1432
sub_035,1174.1999998092651,,1176
sub_036,9410.40000000596,,9427
sub_036,2478.199999988079,,2487
sub_036,1735.1000000238419,,1744
sub_036,2034.9000000059605,,2042
sub_036,7991.300000011921,,8001
sub_036,2025.199999988079,,2033
sub_036,1700.2000000178814,,1708
sub_036,13538.299999982119,,13549
sub_036,2699.7999999821186,,2709
sub_037,1572,,1589
sub_037,3241.7000000029802,,3254
sub_037,1092.5,,1103
sub_037,1975.9000000059605,,1986
sub_037,1341.7000000029802,,1352
sub_037,1235.5,,1245
sub_037,1487.6000000089407,,1497
sub_037,1015.7999999970198,,1026
sub_037,1293.8999999910593,,1305
sub_038,18897.70000001788,,18911
sub_038,2499.300000011921,,2512
sub_038,2542.300000011921,,2547
sub_038,1678,,1687
sub_038,1526.800000011921,,1534
sub_038,2404.5,,2417
sub_038,1555.5,,1561
sub_038,1821.5,,1827
sub_038,2708.699999988079,,2716
sub_039,12261.699999809265,,12275
sub_039,12340.5,,12347
sub_039,1651,,1656
sub_039,1719.8000001907349,,1725
sub_039,4057.5,,4067
sub_039,1071.7999997138977,,1077
sub_039,1416.5999999046326,,1421
sub_039,1274.7999997138977,,1283
sub_039,1202.9000000953674,,1208
sub_040,6160,,6166
sub_040,1888.9000000003725,,1894
sub_040,29102.400000000373,,29106
sub_040,1283,,1289
sub_040,1391.4000000003725,,1397
sub_040,213967.40000000037,,213964
sub_040,1271.7000000001863,,1277
sub_040,172718.7999999998,,172717
sub_040,841.3999999994412,,847
sub_041,33649.699999809265,"saw it all, but my mouse stopped working at one stage! Changed USB ports now so hopefully all good¬",33662
sub_041,24381.900000095367,,24391
sub_041,1365.7999999523163,,1372
sub_041,1020,,1027
sub_041,1816.2999999523163,,1822
sub_041,1659.7000000476837,,1666
sub_041,14463.100000143051,,14470
sub_041,4870.599999904633,,4878
sub_041,1829.7999999523163,,1835
sub_042,4482,,4489
sub_042,1964,,1972
sub_042,1472,,1479
sub_042,1206,,1212
sub_042,1341,,1385
sub_042,1207,,1215
sub_042,1515,,1535
sub_042,1053,,1060
sub_042,1136,,1186
sub_043,6110.299999999814,,6119
sub_043,189503.90000000014,,189508
sub_043,1162,,1165
sub_043,1183,,1187
sub_043,2482.399999999907,,2485
sub_043,3723,,3726
sub_043,1769.5,,1774
sub_043,1445.3999999999069,,1449
sub_043,1537.1000000000931,,1541
sub_044,6081.5,,6093
sub_044,5842,,5849
sub_044,2177.699999988079,,2183
sub_044,1423.0999999940395,,1428
sub_044,2458.5,,2463
sub_044,2551,,2558
sub_044,1748,,1753
sub_044,7374.800000011921,,7380
sub_044,2702.699999988079,,2708
sub_045,11545.900000035763,,11557
sub_045,3367.300000011921,,3374
sub_045,2100.699999988079,,2106
sub_045,1333.699999988079,,1340
sub_045,678,,684
sub_045,4534.799999952316,,4542
sub_045,2179,,2187
sub_045,1103.300000011921,,1109
sub_045,699.6999999880791,,707
sub_046,17149.79999998212,,17153
sub_046,5637.5999999940395,,5645
sub_046,1408.2000000178814,,1411
sub_046,1134,,1138
sub_046,1670.2000000178814,,1675
sub_046,983.1999999880791,,990
sub_046,1218.4000000059605,,1221
sub_046,865,,867
sub_046,2327.2999999821186,,2332
sub_047,10171.269999991637,,10178
sub_047,15253.040000010515,,15258
sub_047,10859.1749999905,,10865
sub_047,4890.545000002021,,4897
sub_047,5218.135000002803,,5223
sub_047,5613.360000017565,,5618
sub_047,2883.2950000069104,,2888
sub_047,4318.740000016987,,4323
sub_047,5937.914999987697,,5943
sub_048,3987.300000000745,,3995
sub_048,21144.300000000745,,21155
sub_048,1137.199999999255,,1148
sub_048,1345.7000000029802,,1354
sub_048,3698.199999999255,,3704
sub_048,1276.1000000014901,,1285
sub_048,1830.3999999985099,,1838
sub_048,1318.1000000014901,,1326
sub_048,1611.199999999255,,1618
sub_049,4372.5,,4384
sub_049,110916.59999990463,Struggled to keep up with the speed of it towards the end as I was trying to remember where everything was. I'm not sure if it sped up or what.,110918
sub_049,4044.800000190735,,4048
sub_049,2237.0999999046326,,2239
sub_049,447952.89999985695,,447952
sub_049,1924.5999999046326,,1929
sub_049,1060.2999999523163,,1064
sub_049,1305.5,,1308
sub_049,1224.5,,1227
sub_050,7283.0999999940395,,7293
sub_050,1847.5,,1854
sub_050,2423.5999999940395,,2432
sub_050,3956,,3962
sub_050,1531.4000000059605,,1549
sub_050,1076.199999988079,,1081
sub_050,1717.5999999940395,,1735
sub_050,1629.4000000059605,,1635
sub_050,2997.199999988079,,3002
sub_051,34899.80000001192,no issues encountered ,34904
sub_051,14256.5,,14269
sub_051,19126,there was no feed back text ,19131
sub_051,24998.30000001192,no feed back was seen very fast images,25005
sub_051,16018,"no text seen 
",16024
sub_051,7245.699999988079,no text ,7252
sub_051,12790.800000011921,no text visible,12798
sub_051,17146.69999998808,no text visible,17152
sub_051,22618.600000023842,no text visable,22625
sub_052,35626.40000000596,"Hi, i don't have any technical problem, thank you",35632
sub_052,10992.79999999702,,10997
sub_052,10870,,10872
sub_052,3128.5,,3132
sub_052,2254.2999999970198,,2258
sub_052,1811.7000000029802,,1814
sub_052,2752.7999999970198,,2758
sub_052,2289.7999999970198,,2293
sub_052,2042.7999999970198,,2046
sub_053,34206.59999999963,"It was okay, but the board is a bit small to be honest (before you zoom in) ",34210
sub_053,52708.70000000112,,52712
sub_053,14927,,14929
sub_053,40126.300000000745,,40129
sub_053,4793.700000001118,,4796
sub_053,37862.59999999963,,37865
sub_053,25624.300000000745,,25627
sub_053,14569.89999999851,,14572
sub_053,7267.199999999255,,7270
sub_054,37120.799999999814,the screen went grey for a minute and then went straight to the 'start experiment screen',37130
sub_054,3238.7999999988824,,3248
sub_054,11834.099999999627,,11841
sub_054,2187.800000000745,,2197
sub_054,992.5999999996275,,1001
sub_054,2870.9000000003725,,2878
sub_054,1133.1000000014901,,1142
sub_054,1034.7000000011176,,1041
sub_054,1162.5,,1173
sub_055,8049,,8053
sub_055,3786,,3788
sub_055,1700,,1704
sub_055,1079,,1082
sub_055,1123,,1125
sub_055,1386,,1389
sub_055,954,,958
sub_055,1461,,1463
sub_055,1555,,1558
sub_056,14420.900000095367,,14432
sub_056,9076.400000095367,,9083
sub_056,18682.400000095367,,18689
sub_056,10769.5,,10775
sub_056,8138.599999904633,,8149
sub_056,6674.900000095367,,6682
sub_056,6287.5,,6294
sub_056,8142.099999904633,,8149
sub_056,9606.799999713898,,9613
sub_057,4256.4000000059605,,4275
sub_057,2096.300000011921,,2103
sub_057,1811.0999999940395,,1820
sub_057,1784,,1792
sub_057,1595.7999999821186,,1604
sub_057,1982.199999988079,,1989
sub_057,9663.09999999404,,9676
sub_057,2914.5999999940395,,2921
sub_057,4586.4000000059605,,4591
sub_058,5375.699999999255,,5379
sub_058,12330.199999999255,,12332
sub_058,1511.300000000745,,1513
sub_058,921.8999999985099,,924
sub_058,1015.2000000029802,,1017
sub_058,979.5999999977648,,981
sub_058,667.5,,669
sub_058,816.6000000014901,,818
