ptp,counterbalancing,rt,mouse_clientX,mouse_clientY,row,col,correct,pa_center_x,pa_center_y,condition,arrangement,block,block_trial_idx,hidden_pa_img,hidden_pa_img_type,corr_row,corr_col,top_offset,left_offset,time_elapsed,mouse_dist_cb,mouse_error,hidden_pa_img_row_number,hidden_pa_img_row_number_across_blocks,dist_border_l,dist_border_r,dist_border_t,dist_border_b,border_dist_closest,border_dist_summed,display_information.wrapper_arena_position.x,display_information.wrapper_arena_position.y,display_information.wrapper_arena_position.width,display_information.wrapper_arena_position.height,display_information.wrapper_arena_position.top,display_information.wrapper_arena_position.right,display_information.wrapper_arena_position.bottom,display_information.wrapper_arena_position.left,display_information.grid_border_position.x,display_information.grid_border_position.y,display_information.grid_border_position.width,display_information.grid_border_position.height,display_information.grid_border_position.top,display_information.grid_border_position.right,display_information.grid_border_position.bottom,display_information.grid_border_position.left,display_information.grid_box_position.x,display_information.grid_box_position.y,display_information.grid_box_position.width,display_information.grid_box_position.height,display_information.grid_box_position.top,display_information.grid_box_position.right,display_information.grid_box_position.bottom,display_information.grid_box_position.left,display_information.window_scroll_x,display_information.window_scroll_y,display_information.window_innerHeight,display_information.window_innerWidth,display_information.window_outerHeight,display_information.window_outerWidth
sub_001,cb3,637.3999999994412,576,354,8,3,0,737.4583549499512,391.1250114440918,schema_4_2,1,1,9,img/targets/BOSS/high_familiarity_downsized/cond1/052_steeringwheel.jpg,far,9,7,6,155,53360,198.58336639404297,165.67156321429567,3,3,6,5,8,3,3,8,280.66668701171875,0,702,702,0,982.66668701171875,702,280.66668701171875,436.66668701171875,7,560,560,7,996.66668701171875,567,436.66668701171875,466.66668701171875,37,500,500,37,966.66668701171875,537,466.66668701171875,0,0,720,1280,720,1280
sub_001,cb3,834.7000000001863,570,357,6,6,0,516.1250114440918,393.7916679382324,schema_4_2,1,1,10,img/targets/BOSS/high_familiarity_downsized/cond1/036_table01.jpg,near,7,5,92,17,59215,90.666656494140625,65.23910806852282,2,2,4,7,6,5,4,9,280.66668701171875,0,702,702,0,982.66668701171875,702,280.66668701171875,298.66668701171875,93,560,560,93,858.66668701171875,653,298.66668701171875,328.66668701171875,123,500,500,123,828.66668701171875,623,328.66668701171875,0,0,720,1280,720,1280
sub_001,cb3,722.9000000003725,740,293,5,10,0,575.7916679382324,250.79166793823242,schema_4_2,1,1,11,img/targets/BOSS/high_familiarity_downsized/cond1/046_redonion.jpg,near,4,6,74,35,64960,206.41666412353516,169.54621674913352,3,3,5,6,3,8,3,8,280.66668701171875,0,702,702,0,982.66668701171875,702,280.66668701171875,316.66668701171875,75,560,560,75,876.66668701171875,635,316.66668701171875,346.66668701171875,105,500,500,105,846.66668701171875,605,346.66668701171875,0,0,720,1280,720,1280
sub_001,cb3,768.3999999994412,665,246,4,9,0,392.1250114440918,288.4583549499512,schema_4_2,1,1,12,img/targets/BOSS/high_familiarity_downsized/cond1/078_pumpkin.jpg,,5,2,70,18,70762,315.3333435058594,276.1584170081424,2,2,1,10,4,7,1,5,280.66668701171875,0,702,702,0,982.66668701171875,702,280.66668701171875,299.66668701171875,71,560,560,71,859.66668701171875,631,299.66668701171875,329.66668701171875,101,500,500,101,829.66668701171875,601,329.66668701171875,0,0,720,1280,720,1280
sub_001,cb3,1242.199999999255,645,218,2,5,0,649.1250419616699,408.7916679382324,schema_4_2,1,1,13,img/targets/BOSS/high_familiarity_downsized/cond1/036_table01.jpg,near,7,5,107,150,77023,194.91670989990234,190.83625579495705,3,3,4,7,6,5,4,9,280.66668701171875,0,702,702,0,982.66668701171875,702,280.66668701171875,431.66668701171875,108,560,560,108,991.66668701171875,668,431.66668701171875,461.66668701171875,138,500,500,138,961.66668701171875,638,461.66668701171875,0,0,720,1280,720,1280
sub_001,cb3,845.6000000005588,615,399,9,4,0,685.7916679382324,193.79166793823242,schema_4_2,1,1,14,img/targets/BOSS/high_familiarity_downsized/cond1/046_redonion.jpg,near,4,6,17,145,82888,276,217.07583881457106,4,4,5,6,3,8,3,8,280.66668701171875,0,702,702,0,982.66668701171875,702,280.66668701171875,426.66668701171875,18,560,560,18,986.66668701171875,578,426.66668701171875,456.66668701171875,48,500,500,48,956.66668701171875,548,456.66668701171875,0,0,720,1280,720,1280
sub_001,cb3,684.5999999996275,636,390,6,8,1,643.1250419616699,394.1250114440918,schema_4_2,1,1,15,img/targets/BOSS/high_familiarity_downsized/cond1/054_bookshelf.jpg,far,6,8,134,19,88591,11.250053405761719,8.232978948682273,1,1,7,4,5,6,4,9,280.66668701171875,0,702,702,0,982.66668701171875,702,280.66668701171875,300.66668701171875,135,560,560,135,860.66668701171875,695,300.66668701171875,330.66668701171875,165,500,500,165,830.66668701171875,665,330.66668701171875,0,0,720,1280,720,1280
sub_001,cb3,693.2000000001863,579,380,5,3,0,729.4583549499512,541.1250419616699,schema_4_2,1,1,16,img/targets/BOSS/high_familiarity_downsized/cond1/052_steeringwheel.jpg,far,9,7,156,147,94312,311.5833969116211,220.4517990885885,4,4,6,5,8,3,3,8,280.66668701171875,0,702,702,0,982.66668701171875,702,280.66668701171875,428.66668701171875,157,560,560,157,988.66668701171875,717,428.66668701171875,458.66668701171875,187,500,500,187,958.66668701171875,687,458.66668701171875,0,0,720,1280,720,1280
sub_001,cb3,622.7999999998137,716,432,9,6,0,533.1250419616699,271.4583396911621,schema_4_2,1,1,17,img/targets/BOSS/high_familiarity_downsized/cond1/078_pumpkin.jpg,,5,2,53,159,99952,343.41661834716797,243.34517659538534,3,3,1,10,4,7,1,5,280.66668701171875,0,702,702,0,982.66668701171875,702,280.66668701171875,440.66668701171875,54,560,560,54,1000.6666870117187,614,440.66668701171875,470.66668701171875,84,500,500,84,970.66668701171875,584,470.66668701171875,0,0,720,1280,720,1280
sub_001,cb3,566.5999999996275,676,576,10,6,0,757.1250419616699,416.1250114440918,schema_4_2,1,1,18,img/targets/BOSS/high_familiarity_downsized/cond1/054_bookshelf.jpg,far,6,8,156,133,105535,241.00003051757812,179.27990517354277,2,2,7,4,5,6,4,9,280.66668701171875,0,702,702,0,982.66668701171875,702,280.66668701171875,414.66668701171875,157,560,560,157,974.66668701171875,717,414.66668701171875,444.66668701171875,187,500,500,187,944.66668701171875,687,444.66668701171875,0,0,720,1280,720,1280
