ptp,condition,hidden_pa_img_type,hidden_pa_img_row_number_across_blocks,border_dist_closest,counterbalancing,mouse_error_mean,mouse_error_sd,mouse_error_n,y_hat_three_param,y_hat_two_param
sub_018,schema_4_4,far,1,all,cb2,116.89038167499069,NA,2,169.965648766058,169.96581019133
sub_018,schema_4_4,far,2,all,cb2,188.0572905430742,80.15664860359121,2,138.7078371097283,138.70799110258997
sub_018,schema_4_4,far,3,all,cb2,141.25751581388008,102.33512444584659,2,113.19854461969175,113.19868845421249
sub_018,schema_4_4,far,4,all,cb2,138.5631103713834,105.84069695339176,2,92.38058044175267,92.3807126460113
sub_018,schema_4_4,far,5,all,cb2,42.445657595970836,31.183233406035196,2,75.39117814126848,75.39129812830734
sub_018,schema_4_4,far,6,all,cb2,34.472847130044144,26.391899603122106,2,61.52623976109908,61.52634755320571
sub_018,schema_4_4,far,7,all,cb2,48.419918164849896,26.950425191127156,2,50.21115563477781,50.21125165924838
sub_018,schema_4_4,far,8,all,cb2,15.87852271145579,2.500105231310827,2,40.97699062984378,40.97707556926177
sub_018,schema_4_4,near,1,all,cb2,132.911794675907,18.015296484117183,2,141.223377766851,141.219842558988
sub_018,schema_4_4,near,2,all,cb2,104.8475236502668,20.898051444214953,2,99.46873288819401,99.46695293991509
sub_018,schema_4_4,near,3,all,cb2,104.91850096232932,15.376464872881746,2,70.05942627721348,70.05867268984287
sub_018,schema_4_4,near,4,all,cb2,13.713865650464534,4.769802217448901,2,49.34538792645827,49.34520937851024
sub_018,schema_4_4,near,5,all,cb2,33.933625167996624,7.406924210991692,2,34.75574151036926,34.755863836998365
sub_018,schema_4_4,near,6,all,cb2,20.929112516905302,12.682102895852802,2,24.479725846878893,24.479986735693938
sub_018,schema_4_4,near,7,all,cb2,22.05931070531279,4.352712690324022,2,17.241956342071006,17.242263158535447
sub_018,schema_4_4,near,8,all,cb2,11.034503917359817,5.819852399082316,2,12.144133497089683,12.144436271066516
sub_018,schema_4_4,near_far_combined,1,all,cb2,127.57132367560156,15.742850606565266,4,154.871567362749,154.871684460435
sub_018,schema_4_4,near_far_combined,2,all,cb2,146.4524070966705,67.7881065671553,4,120.17336942978491,120.17345242115879
sub_018,schema_4_4,near_far_combined,3,all,cb2,123.0880083881047,63.32307996224626,4,93.24912872021983,93.24918701010138
sub_018,schema_4_4,near_far_combined,4,all,cb2,76.13848801092396,94.53806649908663,4,72.35712910723944,72.3571695982487
sub_018,schema_4_4,near_far_combined,5,all,cb2,38.189641381983726,19.146028900510316,4,56.14587722693253,56.14590496861466
sub_018,schema_4_4,near_far_combined,6,all,cb2,27.70097982347472,18.626154065304785,4,43.56667502536487,43.56669369804933
sub_018,schema_4_4,near_far_combined,7,all,cb2,35.23961443508134,21.910067331273787,4,33.805779988002115,33.80579226286684
sub_018,schema_4_4,near_far_combined,8,all,cb2,13.456513314407804,4.60382906547318,4,26.231764529490846,26.231772336014505
sub_018,schema_6_0,all_pa,1,1,cb2,268.16853157692645,NA,1,NA,NA
sub_018,schema_6_0,all_pa,1,2,cb2,141.1103326357163,NA,1,NA,NA
sub_018,schema_6_0,all_pa,1,3,cb2,157.76503017276045,44.09458612774973,2,NA,NA
sub_018,schema_6_0,all_pa,1,4,cb2,108.87517332834871,19.416788448329413,2,NA,NA
sub_018,schema_6_0,all_pa,1,all,cb2,157.09321186914352,62.55459125805319,6,161.18407776950403,154.996941654837
sub_018,schema_6_0,all_pa,2,1,cb2,183.54168144627258,NA,1,NA,NA
sub_018,schema_6_0,all_pa,2,2,cb2,187.3824657660436,NA,1,NA,NA
sub_018,schema_6_0,all_pa,2,3,cb2,47.256174062813244,33.78715610245639,2,NA,NA
sub_018,schema_6_0,all_pa,2,4,cb2,90.0113282267265,39.00491943235038,2,NA,NA
sub_018,schema_6_0,all_pa,2,all,cb2,107.57652529856594,67.37478843397462,6,92.8076466057467,100.28245419059155
sub_018,schema_6_0,all_pa,3,1,cb2,30.585720984227265,NA,1,NA,NA
sub_018,schema_6_0,all_pa,3,2,cb2,8.926840233951765,NA,1,NA,NA
sub_018,schema_6_0,all_pa,3,3,cb2,19.558152904847283,8.204949817201197,2,NA,NA
sub_018,schema_6_0,all_pa,3,4,cb2,104.61640060940736,116.51259955587253,2,NA,NA
sub_018,schema_6_0,all_pa,3,all,cb2,47.97694470778139,68.55827267884032,6,57.46012173776154,64.88238097551042
sub_018,schema_6_0,all_pa,4,1,cb2,27.85540931533766,NA,1,NA,NA
sub_018,schema_6_0,all_pa,4,2,cb2,13.865459839561758,NA,1,NA,NA
sub_018,schema_6_0,all_pa,4,3,cb2,38.67590214288393,3.6564092317047696,2,NA,NA
sub_018,schema_6_0,all_pa,4,4,cb2,29.042833714853593,26.068822908329643,2,NA,NA
sub_018,schema_6_0,all_pa,4,all,cb2,29.526390145062408,14.892310529273534,6,39.187048793950254,41.9786631173834
sub_018,schema_6_0,all_pa,5,1,cb2,28.88747701210682,NA,1,NA,NA
sub_018,schema_6_0,all_pa,5,2,cb2,13.516230116511778,NA,1,NA,NA
sub_018,schema_6_0,all_pa,5,3,cb2,51.665401987638866,42.36156266608829,2,NA,NA
sub_018,schema_6_0,all_pa,5,4,cb2,26.337330282480668,24.404066779661516,2,NA,NA
sub_018,schema_6_0,all_pa,5,all,cb2,33.068195278142944,26.728784094200076,6,29.740695872298573,27.160041456985116
sub_018,schema_6_0,all_pa,6,1,cb2,9.269510673439024,NA,1,NA,NA
sub_018,schema_6_0,all_pa,6,2,cb2,18.651433632900716,NA,1,NA,NA
sub_018,schema_6_0,all_pa,6,3,cb2,33.87344255057947,23.954969132661127,2,NA,NA
sub_018,schema_6_0,all_pa,6,4,cb2,34.84090208007581,22.52493601980399,2,NA,NA
sub_018,schema_6_0,all_pa,6,all,cb2,27.55827226127505,18.334993915094802,6,24.857358308070246,17.572447456995867
sub_018,schema_6_0,all_pa,7,1,cb2,14.218784340617871,NA,1,NA,NA
sub_018,schema_6_0,all_pa,7,2,cb2,29.825550733599204,NA,1,NA,NA
sub_018,schema_6_0,all_pa,7,3,cb2,12.603727648184693,14.642075171994305,2,NA,NA
sub_018,schema_6_0,all_pa,7,4,cb2,20.503730855818098,3.3470995186087067,2,NA,NA
sub_018,schema_6_0,all_pa,7,all,cb2,18.376542013703776,9.483257100845334,6,22.332893473441374,11.369309215449105
sub_018,schema_6_0,all_pa,8,1,cb2,24.73583085576468,NA,1,NA,NA
sub_018,schema_6_0,all_pa,8,2,cb2,34.4074988420039,NA,1,NA,NA
sub_018,schema_6_0,all_pa,8,3,cb2,11.891369715326217,0.9559912072856385,2,NA,NA
sub_018,schema_6_0,all_pa,8,4,cb2,40.80167400494462,44.46314715572411,2,NA,NA
sub_018,schema_6_0,all_pa,8,all,cb2,27.42156952305171,23.97636494069456,6,21.02785923866699,7.3559014675007575
sub_018,schema_6_0,far,1,all,cb2,124.5951827086207,2.8146620178835065,2,124.93701317879601,116.606078221153
sub_018,schema_6_0,far,2,all,cb2,94.3696362584225,32.84134110492631,2,81.61281348830596,87.11124750965321
sub_018,schema_6_0,far,3,all,cb2,23.79473996483138,2.2135109387973357,2,56.73793779701259,65.07696304043513
sub_018,schema_6_0,far,4,all,cb2,44.36882453815008,4.394598829218153,2,42.45586345801172,48.61612294206738
sub_018,schema_6_0,far,5,all,cb2,62.60658080069873,26.888399200309873,2,34.255716049993026,36.318956808873324
sub_018,schema_6_0,far,6,all,cb2,50.790300376435454,0.030919362598155954,2,29.547547200205315,27.132287477071152
sub_018,schema_6_0,far,7,all,cb2,10.193595546163994,11.233633666205856,2,26.844320926926997,20.26933283388183
sub_018,schema_6_0,far,8,all,cb2,10.96441935949468,2.2668969721491647,2,25.29224568967811,15.142322735518562
sub_018,schema_6_0,near,1,all,cb2,142.04502079248846,66.32603659396266,2,136.127438240506,125.278966497352
sub_018,schema_6_0,near,2,all,cb2,42.897866031117246,27.623577775032324,2,75.34645205076299,86.6392360116156
sub_018,schema_6_0,near,3,all,cb2,100.37981354942328,122.5040384342764,2,48.0715669936132,59.91713873880889
sub_018,schema_6_0,near,4,all,cb2,23.349911319587438,18.01781484740672,2,35.83222371348933,41.43692488429097
sub_018,schema_6_0,near,5,all,cb2,15.396151469420808,8.930903313883096,2,30.339935712464552,28.65655436837879
sub_018,schema_6_0,near,6,all,cb2,17.924044254219822,1.3991137502589759,2,27.87532410742955,19.81802729234793
sub_018,schema_6_0,near,7,all,cb2,22.913862957838795,0.061341987179741014,2,26.769353269312546,13.705562808124412
sub_018,schema_6_0,near,8,all,cb2,41.72862436077616,43.15224139086058,2,26.273059454795742,9.478362761159998
sub_018,schema_6_0,near_far_combined,1,all,cb2,133.32010175055458,39.629796457092695,4,130.828592810595,120.541565323241
sub_018,schema_6_0,near_far_combined,2,all,cb2,68.63375114476987,38.69090704974443,4,78.32907179417424,87.00826951416592
sub_018,schema_6_0,near_far_combined,3,all,cb2,62.08727675712733,83.42144520313747,4,51.97807739844188,62.803556130609785
sub_018,schema_6_0,near_far_combined,4,all,cb2,33.85936792886876,16.183827973573525,4,38.75176804931979,45.33231938383145
sub_018,schema_6_0,near_far_combined,5,all,cb2,39.00136613505977,31.78873848393872,4,32.11310931896821,32.72138247146336
sub_018,schema_6_0,near_far_combined,6,all,cb2,34.35717231532764,18.992535961830058,4,28.780978746882482,23.61866512450429
sub_018,schema_6_0,near_far_combined,7,all,cb2,16.553729252001396,9.798018357647985,4,27.108488173046254,17.048220464094825
sub_018,schema_6_0,near_far_combined,8,all,cb2,26.346521860135418,30.62510445314602,4,26.269017852463946,12.30559895998701
sub_019,schema_2_2,all_pa,1,1,cb4,367.3282300960386,NA,1,NA,NA
sub_019,schema_2_2,all_pa,1,2,cb4,104.16113152611574,NA,1,NA,NA
sub_019,schema_2_2,all_pa,1,3,cb4,144.13636193729718,NA,2,NA,NA
sub_019,schema_2_2,all_pa,1,4,cb4,184.6257082048362,92.18965139162715,2,NA,NA
sub_019,schema_2_2,all_pa,1,all,cb4,196.97542799382478,110.9397366772167,6,192.088048846102,192.116524735172
sub_019,schema_2_2,all_pa,2,1,cb4,224.69297914151275,NA,1,NA,NA
sub_019,schema_2_2,all_pa,2,2,cb4,NA,NA,1,NA,NA
sub_019,schema_2_2,all_pa,2,3,cb4,109.92014656855099,17.8200997112256,2,NA,NA
sub_019,schema_2_2,all_pa,2,4,cb4,129.25256234796237,149.954228723156,2,NA,NA
sub_019,schema_2_2,all_pa,2,all,cb4,140.60767939490788,89.46436582152154,6,157.79782670691426,157.81753494733255
sub_019,schema_2_2,all_pa,3,1,cb4,6.607089032870773,NA,1,NA,NA
sub_019,schema_2_2,all_pa,3,2,cb4,346.46373467622954,NA,1,NA,NA
sub_019,schema_2_2,all_pa,3,3,cb4,150.95173262749114,56.37087706021905,2,NA,NA
sub_019,schema_2_2,all_pa,3,4,cb4,88.56328277503674,9.240588303897995,2,NA,NA
sub_019,schema_2_2,all_pa,3,all,cb4,138.68347575235936,117.64774534326058,6,129.62885647180914,129.64201997295845
sub_019,schema_2_2,all_pa,4,1,cb4,98.56436919844961,NA,1,NA,NA
sub_019,schema_2_2,all_pa,4,2,cb4,119.62941766472318,NA,1,NA,NA
sub_019,schema_2_2,all_pa,4,3,cb4,87.35840961053479,54.433342724450895,2,NA,NA
sub_019,schema_2_2,all_pa,4,4,cb4,162.2973599175156,80.32071268728373,2,NA,NA
sub_019,schema_2_2,all_pa,4,all,cb4,119.58422098654559,55.82485505765528,6,106.48841483555006,106.4967422554019
sub_019,schema_2_2,all_pa,5,1,cb4,16.51648420482644,NA,1,NA,NA
